Ware	2504	91.96	205	7.53	9	0.33	4	0.15	1	0.04	2299	84.43	2723
Warren	676	96.99	18	2.58	3	0.43	0	0.00	0	0.00	658	94.40	697
Washington	1923	99.33	9	0.46	3	0.15	1	0.05	0	0.00	1914	98.86	1936
Wayne	1044	93.97	60	5.40	3	0.27	3	0.27	1	0.09	984	88.57	1111
Webster	235	97.92	5	2.08	0	0.00	0	0.00	0	0.00	230	95.83	240
Wheeler	1127	97.41	29	2.51	1	0.09	0	0.00	0	0.00	1098	94.90	1157
White	936	94.45	53	5.35	2	0.20	0	0.00	0	0.00	883	89.10	991
Whitfield	2384	81.87	483	16.59	35	1.20	9	0.31	1	0.03	1901	65.28	2912
Wilcox	619	95.97	25	3.88	0	0.00	1	0.16	0	0.00	594	92.09	645
Wilkes	1172	95.75	42	3.43	9	0.74	1	0.08	0	0.00	1130	92.32	1224
Wilkinson	726	100.00	0	0.00	0	0.00	0	0.00	0	0.00	726	100.00	726
Worth	2269	98.23	38	1.65	3	0.13	0	0.00	0	0.00	2231	96.58	2310
Totals	234118	91.60	19863	7.77	1125	0.44	461	0.18	23	0.01	214255	83.83	255590
